Site,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
002_8222_FY19,3,0,29,0,11,15,55,109,13,44,41,10,23,12,,,,,,,,,,,
003_5231_FY19,15,70,44,54,15,23,28,24,,,,,,,,,,,,,,,,,
003_5337_FY19,10,0,2,1,2,3,9,4,133,5,22,19,466,13,16,,,,,,,,,,
003_5444_FY19,0,43,283,13,3,6,7,,,,,,,,,,,,,,,,,,
003_5450_FY19,67,399,66,334,533,,,,,,,,,,,,,,,,,,,,
003_5551_FY19,24,48,53,21,,,,,,,,,,,,,,,,,,,,,
003_5555_FY19,12,160,22,39,68,132,95,179,0,,,,,,,,,,,,,,,,
003_5647_FY19,9,51,69,96,129,14,,,,,,,,,,,,,,,,,,,
003_5654_FY19,16,7,3,8,31,10,,,,,,,,,,,,,,,,,,,
003_5655_FY19,30,15,73,81,90,168,907,,,,,,,,,,,,,,,,,,
003_5750_FY19,21,34,38,6,5,25,23,17,,,,,,,,,,,,,,,,,
003_6063_FY19,0,6,12,15,18,4,3,3,5,14,23,,,,,,,,,,,,,,
003_6064_FY19,0,1,0,2,50,18,19,61,,,,,,,,,,,,,,,,,
003_6069_FY19,75,247,113,86,431,46,,,,,,,,,,,,,,,,,,,
003_6179_FY19,7,1,0,15,3,11,13,49,11,2,0,31,,,,,,,,,,,,,
003_8059_FY19,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
003_8060_FY19,61,210,72,195,,,,,,,,,,,,,,,,,,,,,
004_3794_FY19,17,15,0,0,0,0,0,,,,,,,,,,,,,,,,,,
004_3893_FY19,18,4,80,49,9,136,1108,1152,1258,270,793,,,,,,,,,,,,,,
004_3897_FY19,24,21,32,19,23,18,162,109,3,4,1,2,2,1,4,1,6,5,8,2,2,5,42,,
004_3996_FY19,8,22,6,3,6,2,11,39,,,,,,,,,,,,,,,,,
004_4004_FY19,39,63,55,62,180,16,0,0,144,96,0,2,22,8,5,1132,349,10,1,,,,,,
004_4100_FY19,53,371,2061,1344,,,,,,,,,,,,,,,,,,,,,
004_4109_FY19,48,27,29,150,218,167,,,,,,,,,,,,,,,,,,,
004_4306_FY19,5,2,0,2,3,2,15,3,3,1,0,,,,,,,,,,,,,,
004_4308_FY19,0,9,24,12,0,0,20,7,18,15,2,,,,,,,,,,,,,,
004_4513_FY19,9,15,13,17,,,,,,,,,,,,,,,,,,,,,
004_4516_FY19,7,5,1,3,8,38,10,14,,,,,,,,,,,,,,,,,
004_4518_FY19,22,44,118,215,321,61,,,,,,,,,,,,,,,,,,,
004_4520_FY19,0,15,18,2,101,388,322,251,,,,,,,,,,,,,,,,,
004_4522_FY19,2,10,28,18,,,,,,,,,,,,,,,,,,,,,
004_4618_FY19,9,7,5,5,10,,,,,,,,,,,,,,,,,,,,
004_4619_FY19,2,16,25,19,,,,,,,,,,,,,,,,,,,,,
004_4722_FY19,6,147,110,140,,,,,,,,,,,,,,,,,,,,,
004_4729_FY19,5,4,17,39,39,61,91,,,,,,,,,,,,,,,,,,
004_4827_FY19,13,3,14,17,0,5,2,16,,,,,,,,,,,,,,,,,
004_4834_FY19,25,32,21,24,16,16,27,,,,,,,,,,,,,,,,,,
004_4835_FY19,5,5,48,117,0,1,0,3,1,9,8,38,6,249,1029,278,10,37,1,0,8,0,65,,
004_4924_FY19,18,62,184,8,181,24,197,,,,,,,,,,,,,,,,,,
004_4925_FY19,30,42,57,318,,,,,,,,,,,,,,,,,,,,,
004_4937_FY19,12,12,9,13,19,,,,,,,,,,,,,,,,,,,,
004_4939_FY19,37,143,65,172,11,32,12,,,,,,,,,,,,,,,,,,
004_5027_FY19,10,42,136,53,42,50,,,,,,,,,,,,,,,,,,,
004_5042_FY19,47,30,27,15,796,2029,1192,951,,,,,,,,,,,,,,,,,
004_5138_FY19,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
004_5143_FY19,33,84,43,206,163,,,,,,,,,,,,,,,,,,,,
004_5236_FY19,76,31,16,11,69,,,,,,,,,,,,,,,,,,,,
004_5243_FY19,3,2,0,0,3,28,15,22,,,,,,,,,,,,,,,,,
004_5245_FY19,2,11,8,2,16,3,5,7,18,6,1,,,,,,,,,,,,,,
004_5246_FY19,4,7,18,4,,,,,,,,,,,,,,,,,,,,,
004_5344_FY19,268,110,114,42,,,,,,,,,,,,,,,,,,,,,
005_5906_FY19,8,4,18,10,5,3,3,17,6,4,,,,,,,,,,,,,,,
005_5911_FY19,5,38,15,16,1128,,,,,,,,,,,,,,,,,,,,
005_6001_FY19,6,2,6,53,50,,,,,,,,,,,,,,,,,,,,
005_6002_FY19,136,12,8,30,5,7,5,14,1,10,,,,,,,,,,,,,,,
005_6006_FY19,253,821,827,1002,747,1009,179,295,,,,,,,,,,,,,,,,,
005_6012_FY19,16,80,25,210,,,,,,,,,,,,,,,,,,,,,
005_6111_FY19,6,13,2,4,7,18,,,,,,,,,,,,,,,,,,,
005_6120_FY19,0,1,0,0,,,,,,,,,,,,,,,,,,,,,
005_6122_FY19,72,62,38,111,393,45,,,,,,,,,,,,,,,,,,,
005_6125_FY19,8,164,408,768,111,750,1344,,,,,,,,,,,,,,,,,,
005_6227_FY19,3,10,20,19,7,7,3,24,6,15,,,,,,,,,,,,,,,
005_6332_FY19,14,15,15,23,17,1,8,6,6,45,21,85,,,,,,,,,,,,,
005_6434_FY19,0,36,105,36,24,24,0,,,,,,,,,,,,,,,,,,
005_6534_FY19,0,0,6,10,,,,,,,,,,,,,,,,,,,,,
005_6536_FY19,0,9,13,101,9,27,,,,,,,,,,,,,,,,,,,
005_6541_FY19,75,135,10,104,105,121,,,,,,,,,,,,,,,,,,,
005_6546_FY19,1,11,50,46,37,1,7,124,,,,,,,,,,,,,,,,,
005_6638_FY19,5,11,23,9,7,10,30,31,10,15,14,,,,,,,,,,,,,,
005_6639_FY19,2,10,6,13,15,14,17,12,218,,,,,,,,,,,,,,,,
005_6755_FY19,7,1059,862,411,221,214,,,,,,,,,,,,,,,,,,,
005_6856_FY19,8,76,33,95,105,,,,,,,,,,,,,,,,,,,,
005_6964_FY19,4,10,4,6,4,5,,,,,,,,,,,,,,,,,,,
005_7061_FY19,9,6,4,148,99,0,,,,,,,,,,,,,,,,,,,
005_7062_FY19,6,19,34,4,13,12,68,,,,,,,,,,,,,,,,,,
005_7065_FY19,0,11,32,136,5,11,,,,,,,,,,,,,,,,,,,
005_7072_FY19,3,11,19,17,8,,,,,,,,,,,,,,,,,,,,
005_7168_FY19,28,17,9,45,,,,,,,,,,,,,,,,,,,,,
005_7169_FY19,0,9,100,385,227,,,,,,,,,,,,,,,,,,,,
005_7273_FY19,1,10,97,13,94,18,60,6,25,,,,,,,,,,,,,,,,
005_7369_FY19,10,54,49,44,169,162,19,,,,,,,,,,,,,,,,,,
005_7373_FY19,2,23,82,186,216,3,161,,,,,,,,,,,,,,,,,,
005_7477_FY19,9,17,35,16,14,29,0,,,,,,,,,,,,,,,,,,
005_7484_FY19,3,18,38,30,39,50,33,53,,,,,,,,,,,,,,,,,
005_7578_FY19,2,6,61,473,314,287,,,,,,,,,,,,,,,,,,,
005_7580_FY19,21,17,15,7,29,7,17,32,15,15,14,9,37,14,,,,,,,,,,,
005_7586_FY19,13,118,34,12,232,,,,,,,,,,,,,,,,,,,,
005_7679_FY19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
005_7685_FY19,4,9,18,13,,,,,,,,,,,,,,,,,,,,,
005_7686_FY19,2,11,21,19,15,14,6,11,21,,,,,,,,,,,,,,,,
005_7784_FY19,0,0,2,0,0,1,,,,,,,,,,,,,,,,,,,
005_7791_FY19,0,21,22,23,17,14,5,,,,,,,,,,,,,,,,,,
005_8257_FY19,1,52,37,13,0,11,,,,,,,,,,,,,,,,,,,
005_8262_FY19,0,10,5,2,2,9,10,,,,,,,,,,,,,,,,,,
006_4736_FY19,20,12,15,19,,,,,,,,,,,,,,,,,,,,,
006_4737_FY19,10,19,11,13,16,0,19,,,,,,,,,,,,,,,,,,
006_4840_FY19,3,5,1,15,15,,,,,,,,,,,,,,,,,,,,
006_5364_FY19,2,25,53,34,41,,,,,,,,,,,,,,,,,,,,
006_5567_FY19,52,609,326,1067,329,425,,,,,,,,,,,,,,,,,,,
006_5569_FY19,2,7,13,2,27,,,,,,,,,,,,,,,,,,,,
006_5673_FY19,30,577,107,101,98,36,,,,,,,,,,,,,,,,,,,
006_5882_FY19,9,182,75,44,52,,,,,,,,,,,,,,,,,,,,
006_5987_FY19,4,6,9,7,16,36,2,,,,,,,,,,,,,,,,,,
006_5991_FY19,10,27,87,140,134,15,88,,,,,,,,,,,,,,,,,,
006_5992_FY19,1,1,1,3,4,2,,,,,,,,,,,,,,,,,,,
006_5993_FY19,38,62,138,62,,,,,,,,,,,,,,,,,,,,,
006_6091_FY19,1,12,6,8,3,4,,,,,,,,,,,,,,,,,,,
006_6206_FY19,2,42,0,0,,,,,,,,,,,,,,,,,,,,,
006_6209_FY19,0,3,0,17,29,23,11,66,237,679,93,56,76,134,,,,,,,,,,,
006_8083_FY19,1,8,22,41,27,20,255,793,1792,1156,,,,,,,,,,,,,,,
006_8087_FY19,61,190,183,127,,,,,,,,,,,,,,,,,,,,,
006_8091_FY19,8,29,463,2,137,111,,,,,,,,,,,,,,,,,,,
007_3595_FY19,6,26,131,23,84,35,100,,,,,,,,,,,,,,,,,,
007_3597_FY19,1,2,7,65,8,63,,,,,,,,,,,,,,,,,,,
007_3802_FY19,1,4,10,20,8,17,3,5,10,7,11,,,,,,,,,,,,,,
007_3804_FY19,1395,1207,104,341,41,,,,,,,,,,,,,,,,,,,,
007_3805_FY19,23,30,9,394,1074,,,,,,,,,,,,,,,,,,,,
007_3904_FY19,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
007_3910_FY19,0,0,0,0,0,0,1,0,0,0,,,,,,,,,,,,,,,
007_4010_FY19,0,2,17,27,26,13,6,22,11,8,6,,,,,,,,,,,,,,
007_4013_FY19,28,4,3,5,7,5,3,,,,,,,,,,,,,,,,,,
007_4113_FY19,23,24,0,6,8,21,94,,,,,,,,,,,,,,,,,,
007_4114_FY19,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
007_4122_FY19,2,2,27,106,56,106,75,15,14,7,6,,,,,,,,,,,,,,
007_4224_FY19,29,14,76,66,19,,,,,,,,,,,,,,,,,,,,
007_4329_FY19,12,112,129,25,5,,,,,,,,,,,,,,,,,,,,
007_4330_FY19,155,162,635,2118,,,,,,,,,,,,,,,,,,,,,
007_4628_FY19,82,1,1,5,4,6,19,1,,,,,,,,,,,,,,,,,
007_4732_FY19,47,351,735,2564,,,,,,,,,,,,,,,,,,,,,
007_4734_FY19,8,150,56,59,30,49,,,,,,,,,,,,,,,,,,,
007_4836_FY19,1,25,15,19,11,26,,,,,,,,,,,,,,,,,,,
007_4940_FY19,28,21,5,1,27,19,15,29,,,,,,,,,,,,,,,,,
008_3921_FY19,32,18,35,16,,,,,,,,,,,,,,,,,,,,,
008_4023_FY19,0,1,131,117,,,,,,,,,,,,,,,,,,,,,
008_4127_FY19,0,119,200,4,71,38,5,0,7,,,,,,,,,,,,,,,,
008_4137_FY19,9,7,15,1,1,1,12,6,51,6,,,,,,,,,,,,,,,
008_4232_FY19,91,100,20,48,320,146,,,,,,,,,,,,,,,,,,,
008_4238_FY19,2,5,41,0,0,19,5,33,7,1,,,,,,,,,,,,,,,
008_4336_FY19,2,12,13,61,35,10,19,15,23,58,113,144,,,,,,,,,,,,,
008_4342_FY19,5,39,64,33,22,,,,,,,,,,,,,,,,,,,,
008_4344_FY19,1,1,47,127,95,4,4,1,2,15,1,1,3,4,1,1,122,183,13,17,258,630,8,,
008_4448_FY19,2,13,6,5,6,2,1,2,2,8,12,1,1,0,2,2,5,16,545,7,1,9,8,,
008_4538_FY19,9,14,42,12,6,5,,,,,,,,,,,,,,,,,,,
008_4548_FY19,168,204,4,17,16,5,3,5,8,2,68,447,853,,,,,,,,,,,,
008_4549_FY19,14,116,115,298,,,,,,,,,,,,,,,,,,,,,
008_4644_FY19,0,1,2,1,1,3,1,9,58,455,126,71,166,735,,,,,,,,,,,
008_4751_FY19,9,10,5,12,32,6,,,,,,,,,,,,,,,,,,,
008_4753_FY19,7,29,89,73,,,,,,,,,,,,,,,,,,,,,
008_4764_FY19,0,2,4,29,109,31,18,,,,,,,,,,,,,,,,,,
008_4765_FY19,4,7,18,11,19,21,,,,,,,,,,,,,,,,,,,
008_4771_FY19,69,79,97,44,,,,,,,,,,,,,,,,,,,,,
008_4853_FY19,9,19,35,4,0,0,,,,,,,,,,,,,,,,,,,
008_4860_FY19,0,0,15,47,105,91,65,26,157,81,,,,,,,,,,,,,,,
008_4976_FY19,32,149,242,270,217,15,35,45,,,,,,,,,,,,,,,,,
008_5168_FY19,2,2,7,65,26,8,5,32,15,20,,,,,,,,,,,,,,,
008_5185_FY19,0,5,27,62,4,82,398,,,,,,,,,,,,,,,,,,
008_5269_FY19,19,13,21,0,,,,,,,,,,,,,,,,,,,,,
008_5375_FY19,100,115,67,21,15,56,146,,,,,,,,,,,,,,,,,,
008_5377_FY19,0,4,23,30,30,26,16,18,16,,,,,,,,,,,,,,,,
008_5381_FY19,216,382,711,1,131,,,,,,,,,,,,,,,,,,,,
008_5495_FY19,4,29,8,15,78,31,,,,,,,,,,,,,,,,,,,
008_5579_FY19,7,5,3,10,4,4,1,4,,,,,,,,,,,,,,,,,
008_5584_FY19,52,130,203,35,181,97,80,,,,,,,,,,,,,,,,,,
008_5592_FY19,14,5,2,21,,,,,,,,,,,,,,,,,,,,,
008_5597_FY19,9,4,3,1,,,,,,,,,,,,,,,,,,,,,
008_5696_FY19,114,218,63,39,333,,,,,,,,,,,,,,,,,,,,
008_5697_FY19,5,16,6,11,14,10,0,1,3,9,13,14,22,,,,,,,,,,,,
008_5796_FY19,174,393,421,11,,,,,,,,,,,,,,,,,,,,,
008_5892_FY19,6,74,39,46,71,92,2,,,,,,,,,,,,,,,,,,
009_2674_FY19,21,77,18,0,31,125,193,6,149,56,5,79,,,,,,,,,,,,,
009_3093_FY19,60,57,112,374,,,,,,,,,,,,,,,,,,,,,
009_3191_FY19,0,0,0,1,16,3,5,8,5,0,1,3,4,0,,,,,,,,,,,
009_3192_FY19,1,30,15,5,13,24,,,,,,,,,,,,,,,,,,,
009_3197_FY19,31,59,15,91,,,,,,,,,,,,,,,,,,,,,
010_1657_FY19,378,224,299,369,267,181,121,,,,,,,,,,,,,,,,,,
010_1762_FY19,31,91,59,76,,,,,,,,,,,,,,,,,,,,,
010_1866_FY19,9,9,7,21,,,,,,,,,,,,,,,,,,,,,
010_1867_FY19,25,24,25,99,324,239,,,,,,,,,,,,,,,,,,,
010_1970_FY19,24,56,109,74,95,,,,,,,,,,,,,,,,,,,,
010_2803_FY19,17,5,10,25,4,28,11,3,6,33,30,27,24,24,,,,,,,,,,,
010_2909_FY19,39,30,4,28,,,,,,,,,,,,,,,,,,,,,
010_3014_FY19,32,27,34,124,,,,,,,,,,,,,,,,,,,,,
010_3112_FY19,112,316,1039,620,,,,,,,,,,,,,,,,,,,,,
010_3119_FY19,14,53,87,60,55,,,,,,,,,,,,,,,,,,,,
010_3208_FY19,0,6,11,32,16,76,,,,,,,,,,,,,,,,,,,
010_3219_FY19,27,76,320,291,,,,,,,,,,,,,,,,,,,,,
010_3220_FY19,13,33,27,27,10,,,,,,,,,,,,,,,,,,,,
010_3323_FY19,1,28,40,13,23,1,18,5,,,,,,,,,,,,,,,,,
010_3324_FY19,0,13,0,4,6,0,,,,,,,,,,,,,,,,,,,
010_3407_FY19,4,18,2,14,8,6,,,,,,,,,,,,,,,,,,,
010_3415_FY19,24,44,13,8,8,47,34,30,27,47,55,32,,,,,,,,,,,,,
010_3418_FY19,44,259,30,41,139,,,,,,,,,,,,,,,,,,,,
010_3424_FY19,0,9,14,2,,,,,,,,,,,,,,,,,,,,,
010_3427_FY19,2,86,164,303,12,48,17,4,52,155,,,,,,,,,,,,,,,
010_3429_FY19,13,50,18,25,44,29,,,,,,,,,,,,,,,,,,,
010_3529_FY19,166,257,570,69,203,10,,,,,,,,,,,,,,,,,,,
010_3532_FY19,6,2,4,1,0,,,,,,,,,,,,,,,,,,,,
010_3613_FY19,60,329,80,261,245,,,,,,,,,,,,,,,,,,,,
010_3722_FY19,6,11,133,427,221,,,,,,,,,,,,,,,,,,,,
010_3738_FY19,11,38,44,68,28,,,,,,,,,,,,,,,,,,,,
010_3840_FY19,3,8,12,23,25,31,,,,,,,,,,,,,,,,,,,
010_3924_FY19,0,0,0,0,0,0,0,66,42,41,710,,,,,,,,,,,,,,
010_3928_FY19,6,50,27,73,31,42,114,56,0,0,0,,,,,,,,,,,,,,
010_3937_FY19,37,99,32,10,25,7,,,,,,,,,,,,,,,,,,,
010_3943_FY19,1,53,60,8,18,17,,,,,,,,,,,,,,,,,,,
010_4034_FY19,36,30,14,207,46,4,,,,,,,,,,,,,,,,,,,
010_4037_FY19,8,36,23,23,6,21,17,,,,,,,,,,,,,,,,,,
010_4041_FY19,32,47,57,20,40,15,33,,,,,,,,,,,,,,,,,,
010_4043_FY19,5,17,10,17,121,,,,,,,,,,,,,,,,,,,,
010_4047_FY19,8,20,4,114,285,176,122,,,,,,,,,,,,,,,,,,
010_4048_FY19,0,12,4,34,53,60,89,107,,,,,,,,,,,,,,,,,
010_4453_FY19,52,434,61,121,55,,,,,,,,,,,,,,,,,,,,
010_4664_FY19,28,24,44,239,138,186,112,,,,,,,,,,,,,,,,,,
011_1409_FY19,10,7,6,7,17,7,3,3,,,,,,,,,,,,,,,,,
011_1615_FY19,24,46,76,105,160,325,147,,,,,,,,,,,,,,,,,,
011_1619_FY19,1,33,6,2,10,12,3,23,6,20,91,7,19,12,7,37,,,,,,,,,
011_1620_FY19,6,11,11,0,0,0,0,,,,,,,,,,,,,,,,,,
011_1720_FY19,0,5,5,8,2,,,,,,,,,,,,,,,,,,,,
011_1723_FY19,0,0,1,2,1,0,0,3,4,6,74,25,15,13,12,25,14,33,10,3,,,,,
011_1728_FY19,7,85,225,84,78,50,,,,,,,,,,,,,,,,,,,
011_1829_FY19,0,9,32,38,,,,,,,,,,,,,,,,,,,,,
011_1927_FY19,0,87,51,34,19,38,262,,,,,,,,,,,,,,,,,,
011_1933_FY19,5,17,5,12,5,14,44,,,,,,,,,,,,,,,,,,
011_2032_FY19,70,287,182,67,53,,,,,,,,,,,,,,,,,,,,
011_2033_FY19,2,28,3,21,6,,,,,,,,,,,,,,,,,,,,
011_2037_FY19,12,16,10,2,0,0,2,5,2,25,37,16,1,1,,,,,,,,,,,
011_2133_FY19,1,0,0,0,1,,,,,,,,,,,,,,,,,,,,
011_2134_FY19,263,772,417,440,218,510,,,,,,,,,,,,,,,,,,,
011_2139_FY19,2,17,18,28,3,0,27,5,5,16,15,10,7,,,,,,,,,,,,
011_2239_FY19,197,376,168,519,500,105,,,,,,,,,,,,,,,,,,,
011_2240_FY19,10,4,0,1,2,65,274,58,10,2,1,4,7,125,,,,,,,,,,,
011_2243_FY19,46,13,283,104,3,,,,,,,,,,,,,,,,,,,,
011_2247_FY19,601,187,303,302,0,0,,,,,,,,,,,,,,,,,,,
011_2248_FY19,20,14,0,0,,,,,,,,,,,,,,,,,,,,,
011_2342_FY19,137,601,187,303,,,,,,,,,,,,,,,,,,,,,
011_2343_FY19,2,11,22,16,9,63,22,29,,,,,,,,,,,,,,,,,
011_2350_FY19,18,131,63,3,0,6,7,15,72,9,22,0,,,,,,,,,,,,,
011_2555_FY19,28,31,56,67,26,,,,,,,,,,,,,,,,,,,,
011_2556_FY19,40,470,382,38,14,92,,,,,,,,,,,,,,,,,,,
011_2656_FY19,3,3,133,385,640,141,70,,,,,,,,,,,,,,,,,,
011_2661_FY19,9,33,10,18,11,0,11,6,10,8,20,5,4,,,,,,,,,,,,
011_2662_FY19,0,5,9,4,,,,,,,,,,,,,,,,,,,,,
011_2759_FY19,9,45,740,522,577,565,,,,,,,,,,,,,,,,,,,
011_2762_FY19,10,65,24,0,,,,,,,,,,,,,,,,,,,,,
011_2771_FY19,46,318,57,151,,,,,,,,,,,,,,,,,,,,,
011_2865_FY19,14,6,4,6,5,25,8,67,15,29,1,5,70,32,,,,,,,,,,,
011_2867_FY19,9,6,1,12,8,9,15,11,4,2,8,16,14,25,5,14,,,,,,,,,
011_2872_FY19,29,57,19,14,41,37,24,,,,,,,,,,,,,,,,,,
011_2873_FY19,65,307,500,283,370,327,,,,,,,,,,,,,,,,,,,
011_2974_FY19,10,90,31,64,59,973,1068,,,,,,,,,,,,,,,,,,
011_3072_FY19,4,36,15,8,1,40,25,,,,,,,,,,,,,,,,,,
011_3075_FY19,2,15,8,7,23,,,,,,,,,,,,,,,,,,,,
011_3279_FY19,21,221,543,64,,,,,,,,,,,,,,,,,,,,,
011_3290_FY19,0,1,1,12,56,0,0,6,5,6,193,,,,,,,,,,,,,,
011_3382_FY19,16,11,10,14,6,64,11,15,63,27,,,,,,,,,,,,,,,
011_3489_FY19,1,14,18,29,25,103,4,,,,,,,,,,,,,,,,,,
011_3498_FY19,1,0,1,6,8,12,5,1,3,0,,,,,,,,,,,,,,,
012_1076_FY19,11,28,36,33,38,,,,,,,,,,,,,,,,,,,,
012_1078_FY19,4,21,21,17,10,,,,,,,,,,,,,,,,,,,,
